CustomerID,CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Churn
1,452,71,7,34433.52909289019,1,0,0,87416.60461429198,0
2,785,30,4,97257.1144702693,1,0,1,187825.8662006753,0
3,698,36,5,146785.34472649728,2,0,1,168524.5822595473,1
4,620,46,6,154796.1192533821,3,1,0,26699.834841783268,0
5,456,20,3,156935.19614577552,2,1,0,154280.89839096577,0
6,421,43,5,45633.46687611689,2,1,0,195751.86937375585,0
7,538,57,6,38506.96354475467,2,1,1,77187.18135356905,0
8,370,76,5,118002.49365473918,2,0,1,69560.54970329224,1
9,452,75,5,148217.15954764394,2,0,0,135212.0626568075,0
10,471,75,1,63827.903106838654,2,0,0,39821.95926220529,0
11,816,29,4,20941.031372484307,1,1,0,141495.66520242929,0
12,564,19,2,143349.2765820155,3,1,0,60784.3184091586,0
13,680,28,6,59939.5662760009,3,1,1,101275.59581931014,0
14,808,61,3,33272.544862344366,2,0,1,180554.6375922028,1
15,437,45,0,29544.70567942633,2,1,0,163421.70309132207,0
16,722,35,5,62981.90950534326,2,1,1,39438.563347354415,0
17,449,30,5,118535.6131827491,3,1,1,157049.19385772577,1
18,709,54,6,71680.44773876332,3,1,1,94107.9493844804,0
19,501,39,7,4132.370318686318,2,1,1,198999.50459078027,0
20,480,29,2,19381.686935562215,3,0,0,73952.50452889595,0
21,499,19,5,58100.64943972382,2,1,0,104707.84760175327,1
22,658,54,9,131940.89642941838,2,1,0,81412.00391739496,1
23,607,24,1,19703.014693706766,2,1,0,125514.68226576284,0
24,693,43,8,112131.37070013637,1,0,0,67857.63078162978,0
25,841,43,1,23977.17416480085,3,0,1,184276.42823755683,1
26,763,41,2,42323.065469876296,3,1,1,131058.04242504091,0
27,643,29,9,34437.70551115255,3,1,1,189687.76824826194,0
28,735,33,1,13445.727114162099,2,1,1,142493.20201020763,1
29,541,40,8,134265.96347731806,1,1,1,53450.2201089238,0
30,793,57,0,92680.7094772069,2,1,1,22775.53133616758,1
31,626,79,4,166210.68817946766,2,0,0,93363.91511819798,0
32,510,77,0,19778.16799646339,2,0,1,198831.89044118865,0
33,809,26,4,28946.58666761445,1,1,0,177847.00483074773,0
34,663,49,7,61291.546270090126,2,1,1,172424.25773897226,1
35,371,32,7,153173.19738776164,2,0,1,122363.15854130714,0
36,602,54,7,61151.76463113976,1,1,0,37071.08933382339,0
37,585,30,1,81683.74149973852,2,1,0,22731.51631611237,0
38,694,22,7,60320.71325943291,2,1,1,170952.09806921182,0
39,398,28,4,16044.858360205993,3,1,1,51930.67097519785,1
40,824,27,0,187886.72457923746,1,1,1,33805.47009622208,0
41,408,69,6,109707.79841423777,3,1,0,147756.06892697676,1
42,519,30,5,157566.63763709934,2,1,1,20211.375987865325,1
43,825,58,4,131671.4184370592,1,1,0,153347.16985873415,0
44,537,70,0,102850.85581239502,1,1,1,54619.70994007043,0
45,813,63,0,17935.651331876023,2,1,1,77850.99825303929,0
46,620,67,5,128546.70905406088,3,0,0,50905.59331307256,1
47,539,32,9,31074.071187366426,2,1,0,159886.6573144277,0
48,795,59,6,82876.63387125533,1,0,0,107259.08693608046,0
49,524,73,9,125822.62869608607,1,1,1,49849.370737279954,1
50,795,24,9,156445.8000944247,2,0,1,26935.630233541004,1
51,400,57,0,137009.0351417239,2,1,0,197607.7193551267,1
52,713,45,8,134306.70581092578,2,1,0,148586.12863706116,0
53,404,49,3,29808.4418350415,2,1,0,142391.44307712556,0
54,593,52,4,69225.70801431758,3,1,0,110505.60240547187,1
55,669,32,1,8582.45453203883,3,1,1,98297.50567009581,0
56,480,65,9,143895.3786352929,3,1,1,163273.62070528624,0
57,834,53,7,190517.1962634838,3,1,1,168789.37025941742,1
58,656,38,1,52822.07803581515,1,1,0,30998.217941687784,0
59,484,23,2,17539.34183246186,1,1,1,174695.67069985924,0
60,370,18,8,95114.01535073071,3,0,0,157079.05923400517,0
61,678,21,1,171339.64462551376,2,1,1,107518.2966911454,1
62,516,28,5,110394.83905435594,1,1,1,105738.39410612649,1
63,623,61,3,9355.430038022661,2,1,0,170263.43468461197,0
64,737,43,6,194854.4481055892,3,1,0,162841.150912639,0
65,438,78,5,165729.98199252013,1,0,1,44983.43267504791,0
66,665,54,9,26318.81541030203,1,0,1,118855.17835620235,1
67,363,40,8,184359.55130070177,1,0,1,194484.3371282489,0
68,591,46,8,90137.65772103773,1,1,0,152383.12713318257,0
69,614,38,9,74379.59811498824,3,0,0,195136.09167726233,0
70,695,65,3,92210.66610543765,1,1,0,159679.5452209342,0
71,402,62,0,166914.39137418944,3,1,0,114439.0593707466,0
72,735,62,1,131895.93565735716,1,1,1,128882.47938491602,0
73,689,66,7,11849.690479945508,3,0,1,147694.40885586472,0
74,441,44,9,191520.8742232342,3,0,1,151188.80669535833,0
75,716,56,7,29556.826695663553,2,1,0,154560.5842589291,1
76,793,57,1,149113.59034707022,3,0,0,187446.68179228628,0
77,804,30,3,127227.3060856262,2,1,1,75649.68618715,0
78,777,40,0,37505.609589312175,1,0,1,169305.05784118376,0
79,613,76,6,34146.415222609925,2,1,1,122542.70645850476,0
80,780,33,3,174065.5187409384,3,1,1,179359.34206409924,0
81,384,47,7,83938.98469991943,2,1,1,133596.874346204,0
82,555,78,8,130915.3028348277,1,1,1,188326.7708772022,0
83,430,21,8,100814.20077133465,2,1,1,96326.0365301073,0
84,769,57,2,145470.7034151919,3,1,0,37872.70288044658,0
85,399,33,4,95848.4750078661,3,0,1,136075.39952110095,0
86,709,48,5,57475.983051113675,1,1,1,159426.09339117588,1
87,737,70,5,72676.67419929929,1,0,1,144458.15706756862,0
88,351,59,9,171815.53889006854,2,1,1,150496.66126555874,0
89,739,42,7,93606.93858454541,1,1,0,25198.508093662662,1
90,403,61,5,42689.86644892186,3,1,1,193686.2709574592,0
91,455,29,5,186921.07761545066,2,1,1,67552.28799475796,0
92,609,43,3,159320.0912996754,2,1,1,94495.17459131942,0
93,659,54,6,11133.229211239826,2,1,0,95316.0925166482,1
94,826,65,7,199788.59239610357,2,0,1,183216.0024694414,0
95,540,50,2,138985.33928802045,1,1,1,153883.93486121678,0
96,751,45,6,32053.319808117387,2,1,1,131637.16035947038,0
97,567,26,2,47433.53625971929,2,0,0,41595.024796380254,0
98,393,29,7,138489.0962483094,2,1,1,78217.39087277115,0
99,511,22,0,155952.2110558244,3,0,1,108518.8784814745,1
100,551,71,0,47807.18862996123,3,1,1,40682.20692820713,0
101,795,69,5,51393.77077985417,1,1,0,122835.38594596168,0
102,833,71,9,61424.13897441217,3,1,0,58581.36308623847,0
103,619,45,8,119603.67296732735,3,1,1,168408.07063602356,0
104,700,73,3,34363.235660255385,1,1,0,169208.97125790291,0
105,653,52,5,20848.6397769555,1,0,1,127810.24924413925,0
106,620,22,4,135772.8178171027,2,1,0,84710.29541616686,0
107,805,51,0,155819.58795863402,2,0,1,28019.92872673719,0
108,811,63,5,100185.8808833011,1,0,1,133217.93502145418,0
109,564,51,8,72766.54205367707,2,0,0,161225.49416407876,0
110,601,30,2,86408.54270529527,2,0,0,162271.83481105824,1
